"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYOF",10961.0888992647,9.22292881558819,0.238287031540202,38.7051227923503,0,0
"KRT6A",92976.1484053223,13.0895728920066,0.348869602568801,37.5199581609442,0,0
"ANXA2",96978.4907556236,12.114211677116,0.307079775275636,39.4497217090976,0,0
"LGALS1",15253.1585265429,9.60979466676221,0.210489086266181,45.6545982370307,0,0
"NKX3-1",8296.05257166901,-6.50771583533579,0.167182626514248,-38.9257901435181,0,0
"KRT5",166316.159896886,13.7915037105863,0.370018287250614,37.2724921599491,4.58031101894873e-304,1.77166430212937e-300
"S100A16",11521.6174440023,10.8046758374616,0.291453125573222,37.0717446114576,8.01741438973364e-301,2.65811647367055e-297
"ANXA1",11666.7134331569,9.26252160712833,0.257667459292058,35.9475800032225,5.52178837538407e-283,1.60187080769892e-279
"PDLIM1",7241.77265293357,4.19390981847096,0.116746213592379,35.9233048286608,1.32197960390519e-282,3.40894473860351e-279
"STAT6",4310.54829979799,8.40993889666638,0.238897129117815,35.2031810835153,1.78755343697709e-271,4.14855401653644e-268
"AMOTL1",4351.33568644792,6.74235167720432,0.193677190114983,34.8123166863454,1.58370501252519e-265,3.34132963006224e-262
"TINAGL1",10362.0872569637,8.98682205429731,0.263795815672479,34.0673411797216,2.24735903408304e-254,4.34639237191659e-251
"PCSK9",3761.10552127766,7.97110190974837,0.243936315886308,32.6769791565741,3.31690408771762e-234,5.92143923598081e-231
"AR",6895.06720057429,-8.71650463985718,0.267202386510316,-32.6213577419551,2.04242967093519e-233,3.385764843076e-230
"HOXB13",3804.07598435673,-4.18841167420458,0.133940850937114,-31.2706067260321,1.1715145718248e-214,1.81256734552733e-211
"CARD10",2418.58146301385,4.81485602985542,0.154601290805961,31.1436987670337,6.17313438482048e-213,8.95413142518211e-210
"ACSL4",3303.2857850503,5.89984371581147,0.189518432632558,31.1307118461147,9.25347694494838e-213,1.26326289963742e-209
"TMSB10",29908.6777267231,3.04777765374641,0.100130321588346,30.4381091102093,1.72110676415784e-203,2.21908032125418e-200
"ACTN1",23583.9161736881,3.29965408365622,0.108460781530403,30.4225549281264,2.76432510218907e-203,3.37655036692652e-200
"IER3",3684.70365920697,7.1367415453727,0.236067029179794,30.2318437698353,9.03979521752274e-201,1.04897783704134e-197
"COL4A2",5360.51730373388,6.92082500094643,0.231599743310136,29.8826972000514,3.30254882588159e-196,3.64978824528857e-193
"B3GNT5",1623.34066406851,7.1450781706925,0.240447672457961,29.7157302362397,4.80952884327343e-194,5.07361569975863e-191
"ZFP36L2",3933.78028883626,3.38717159720898,0.115015644718051,29.4496597007502,1.27165092138303e-190,1.28315106884597e-187
"RASSF3",9707.13130052187,-4.89910990785085,0.167141324713406,-29.3111827146952,7.47037703152595e-189,7.22385458948559e-186
"ERAP2",1264.2871382056,5.12012344096379,0.177584164306095,28.8320946913849,8.49731303040367e-183,7.88822563238433e-180
"ITGA3",34007.9340288718,7.6011348291985,0.263850954767831,28.8084416290512,1.68147477517712e-182,1.50091025316579e-179
"WWTR1",1080.64440792444,5.17373677045621,0.183718351555236,28.1612409792426,1.74554091627663e-174,1.50038939203511e-171
"LAMC2",130728.974310938,13.6134742584636,0.48440467329408,28.1035155294608,8.87346574324843e-174,7.35483546318963e-171
"KCTD12",1864.78669875221,7.7222029515935,0.274880792190381,28.0929158056454,1.19564999682191e-173,9.5684983193941e-171
"GUCY1A3",2481.84965467976,-4.97914342377848,0.177453522280471,-28.0588593553458,3.11448868865541e-173,2.40936844954383e-170
"FHL2",2209.44898600242,7.79588739037141,0.278596892129918,27.9826789551405,2.64012203448092e-172,1.9765145863301e-169
"MET",6411.53137974785,7.99307124000159,0.286175632944503,27.9306492930922,1.13277705157366e-171,8.21546556653798e-169
"GATA2",2118.62830262504,-4.93951849359227,0.176918421607699,-27.9197522152058,1.53628091069124e-171,1.08042446591886e-168
"GTF2H2B",2239.80741067116,-3.26872418128237,0.119555061574339,-27.3407427359309,1.39144935561522e-164,9.49786960150532e-162
"COL17A1",48072.6758447768,13.6120042622919,0.500073439856449,27.2200104572628,3.76518367190595e-163,2.49663950450266e-160
"ARL4C",4825.95127518643,6.21724417957181,0.228457965154755,27.2139523581956,4.4410987058355e-163,2.86302829902862e-160
"TRIM29",4384.49697688711,7.74994975991146,0.285602166341923,27.1354726022393,3.75790535469337e-162,2.35712074247902e-159
"CAV1",22205.7842958536,12.4433125451706,0.458601061338637,27.1331961353274,3.9976864241985e-162,2.44153438244207e-159
"MMP14",15728.8597290647,11.7262773389663,0.433962842132155,27.0213857051734,8.28769907333796e-161,4.93181846394942e-158
"MXRA7",1901.27715110888,5.40194261078697,0.200342325454774,26.9635614866936,3.95563984268683e-160,2.2950622367269e-157
"KRT6B",4467.08733605551,7.82013744796609,0.290113449835343,26.9554460587901,4.92453807441199e-160,2.78752877148667e-157
"FRMD6",3263.27574884883,6.69774595435837,0.251297306275122,26.6526770765526,1.6662791317079e-156,9.20738240206593e-154
"SPARC",4132.57626705129,10.4058251209575,0.391380716216024,26.5874752889306,9.47552456461317e-156,5.11413893245448e-153
"SYK",973.732857213836,5.19154797837533,0.197694591387367,26.2604451742583,5.43111097697324e-152,2.86466417167261e-149
"AMIGO2",4672.47176723699,9.30497293274618,0.354666290403944,26.2358537715788,1.03662642083139e-151,5.34622799436776e-149
"NME4",1424.70336010484,5.56338033604427,0.21211924087043,26.2276081755478,1.28734415410296e-151,6.49493111487425e-149
"TRIP6",2577.13085204265,6.50866473065507,0.24849537544642,26.1922972166476,3.25249763472849e-151,1.60604181078253e-148
"FST",12583.8537005515,12.4743934850054,0.478089094005304,26.0921941985714,4.47082901022523e-150,2.1616458264439e-147
"PLS3",8514.28095627173,2.57377426390391,0.09866598047609,26.0857313887194,5.29323112174567e-150,2.50704709945864e-147
"F3",19172.2250998583,13.2211642071842,0.508783422140391,25.9858392232285,7.15950061298399e-149,3.32315380452265e-146
"CALML3",5307.63860993368,11.1478787727805,0.431814295503872,25.8163726603176,5.8075856724808e-147,2.64279310366538e-144
"C19orf33",1599.15310839637,8.101916208852,0.314152532476115,25.7897529744344,1.15543609489445e-146,5.15680017121352e-144
"PRSS23",2982.93689803487,5.87958236278464,0.228300960967483,25.7536470186916,2.93405817928502e-146,1.28478532499711e-143
"AFAP1L2",1604.31831267451,6.79755801581392,0.264226138658443,25.7262890428903,5.93958702623001e-146,2.55270251305085e-143
"SFN",26380.971081783,11.0221262090693,0.429193706727467,25.6810061198503,1.90550534752762e-145,8.04053965553111e-143
"FSCN1",9572.90377567799,6.0796397368982,0.23721792066234,25.628922637561,7.26429433929244e-145,3.01053112546962e-142
"PAK1",1455.11854489906,7.312287854145,0.285534583358748,25.6091145532371,1.20758269541593e-144,4.9167682798619e-142
"PRR15L",1063.39972216786,-6.62425044268477,0.263665748217985,-25.1236669436797,2.74238466107121e-139,1.09733212438173e-136
"SPTBN1",8311.45185067944,7.97291398265334,0.31761840263944,25.1021789556198,4.70820629796828e-139,1.85200087734318e-136
"AMOTL2",1899.10787983205,5.05828687817448,0.202053130089515,25.0344395849424,2.57932327673812e-138,9.97682243442304e-136
"TBC1D2",2218.3820282215,4.82239333449094,0.192662912196048,25.0302109499093,2.86780815327143e-138,1.09108346919874e-135
"KIFC3",1127.18800503527,6.796430295339,0.27158044766065,25.0254771795332,3.22912962884107e-138,1.20873613590554e-135
